Category,Place Name,,IPA,Teaching Note,Extra note
Districts & Neighbourhoods,Clifton,, 'klɪf.tən,Say KLIF-tən with a short /ɪ/ sound in syllable 1.,"Known for beautiful buildings, and some very smart shops, cafes and restaurants."
Districts & Neighbourhoods,Clevedon,, 'kliːv.dən,Say KLEEV-dən with a long /iː/ sound in syllable1.,"A Victorian seaside town about 35 mins drive from Bristol, has a marine lake for swimming."
Districts & Neighbourhoods,Cotham,,,,
Districts & Neighbourhoods,Redland,,,,
Districts & Neighbourhoods,Southville,,,,
Districts & Neighbourhoods,Bedminster  ,,,,
Districts & Neighbourhoods,Bishopston,,,,
Districts & Neighbourhoods,The Downs,,ðə 'daʊnz,This place includes a diphthong - two vowel sounds pushed together into one phoneme - as the vowel in DOWNS. The final 's' is pronounced /z/.,Open grassy space for walking and picnics - great views over the Avon Gorge - located at the top of Whiteladies Road in Clifton.
Districts & Neighbourhoods,Hotwells,,,,
Districts & Neighbourhoods,Montpelier,,,,
Districts & Neighbourhoods,Westbury-on-Trym,,,,Small residential area
Districts & Neighbourhoods,Brislington,,,,
Districts & Neighbourhoods,Filton,,,,
Districts & Neighbourhoods,Horfield,,,,
Districts & Neighbourhoods,St Pauls,,,,
Districts & Neighbourhoods,Stokes Croft,,,,
Districts & Neighbourhoods,Southville,,,,
Districts & Neighbourhoods,Fishponds,,,,
Landmarks & Destinations,Temple Meads,,,,
Landmarks & Destinations,Temple Quay,,,,
Landmarks & Destinations,Cabot Circus,,",kæb.ət ˈsɜː.kəs",The strongest syllable is the first one in circus - say ka-bət SIR-kəs,"Bristol's central shopping district - shops, cafes and a cinema."
Landmarks & Destinations,Cribbs Causeway,,,,
Landmarks & Destinations,Christmas Steps,,,,
Landmarks & Destinations,Ashton Court,,",æʃt.ən 'kɔːt",The strongest beat falls on COURT - say ash-tən COURT,"Great place for an open-air walk, also has deer park."
Landmarks & Destinations,The Harbourside,,ðə ˈhɑː.bə.saɪd,"Use the weak form of 'the', which ends in the schwa vowel; the 'r's are silent, the HAH-bə-side","This lively area has cafes, restaurants, bars, galleries and museums - all around the harbour in the middle of Bristol."
Landmarks & Destinations,Ashton Gate,,",æʃt.ən 'ɡeɪt","Say ash-tən GATE, with the stress on the second word",Sports stadium - home of Bristol City FC and Bristol Bear rugby club.
Landmarks & Destinations,Bristol Beacon,,,,
Landmarks & Destinations,Clifton Suspension Bridge,,,,
Landmarks & Destinations,Wills Memorial Building,,,,
Landmarks & Destinations,Millennium Square,,,,
Landmarks & Destinations,Brandon Hill,,,,
Landmarks & Destinations,SS Great Britain,,,,
Streets & Roads,Whiteladies Road,,,,
Streets & Roads,Gloucester Road,,",ɡlɒs.tə 'rəʊd",Make ROAD the strongest part of this phrase: glos-tə ROAD,High street with lots of independant shops and cafes in North Bristol - a great place to go for a stroll among the locals.
Streets & Roads,Cheltenham Road,,,,
Streets & Roads,Bedminster Parade,,,,
Streets & Roads,Brunel Way,,,,
Streets & Roads,Coronation Road,,,,
Transport & Surrounding Towns,Bristol Parkway,,,,
Transport & Surrounding Towns,Bath Road,,,,
Transport & Surrounding Towns,Weston-super-Mare,,,,
Transport & Surrounding Towns,Portishead,,,,
Transport & Surrounding Towns,Yate,,,,
Transport & Surrounding Towns,MetroBus,,,,
River & Geography,The River Avon,,"ðə ,rɪv.ər ˈeɪ.vən",There are 3 schwa /ə/ sounds here - and we say the /r/ at the end of river because the next word starts with a vowel: thə riv-ər AY-vən,"River which runs through Bristol, feeding into the Avon Gorge (the Clifton Suspension Bridge joins one side of the gorge to the other)."
River & Geography,Avonmouth,,,,
River & Geography,Portbury,,,,
River & Geography,The Avon Gorge,,,,
